DATE,CLOSE,HIGH,LOW,OPEN,TRADES,VWAP
2022-12-29,611.8,618.0,597.15,600.0,168187,608.16
2022-12-28,601.05,607.0,598.55,600.9,143945,602.94
2022-12-27,601.9,603.1,593.3,600.4,206219,598.21
2022-12-26,597.1,601.7,570.7,574.0,210003,589.64
2022-12-23,574.0,590.7,571.5,590.0,226901,579.55
2022-12-22,593.4,599.0,587.55,597.0,136417,592.49
2022-12-21,593.4,609.15,589.6,605.9,145768,599.66
2022-12-20,604.45,606.5,599.55,603.0,128701,602.65
2022-12-19,604.45,609.5,603.0,604.0,149442,605.78
2022-12-16,603.35,615.6,602.1,612.0,160875,607.83
2022-12-15,615.95,629.55,614.3,625.55,148853,621.92
2022-12-14,625.5,626.75,617.5,618.5,187174,623.52
2022-12-13,616.75,617.4,612.5,613.5,162670,615.45
2022-12-12,613.05,618.7,611.0,614.8,135955,613.74
2022-12-09,616.5,618.0,609.1,614.4,169991,613.84
2022-12-08,611.65,613.8,607.15,609.75,146277,611.14
2022-12-07,607.05,612.9,604.5,610.85,113416,607.96
2022-12-06,608.95,619.8,607.8,614.75,190699,613.29
2022-12-05,617.3,618.0,607.55,608.5,210728,614.05
2022-12-02,607.55,609.6,604.25,607.5,142901,607.29
2022-12-01,608.1,609.8,601.55,607.85,172004,605.68
2022-11-30,602.45,611.4,598.4,608.5,174362,603.09
2022-11-29,608.55,611.8,607.1,607.1,121735,609.32
2022-11-28,608.6,610.9,602.35,605.6,121851,606.01
2022-11-25,607.4,613.7,606.25,610.55,136359,609.3
2022-11-24,609.35,611.3,605.8,609.75,128229,608.75
2022-11-23,607.65,609.6,601.0,601.55,171897,606.5
2022-11-22,599.1,600.7,596.15,598.15,126028,598.56
2022-11-21,598.1,602.1,595.35,602.1,135865,598.39
2022-11-18,602.7,605.75,597.15,601.0,155935,601.12
2022-11-17,599.05,602.75,596.15,599.1,114824,599.41
2022-11-16,599.75,603.5,596.0,599.95,168811,600.52
2022-11-15,600.85,602.1,592.65,594.3,153811,597.7
2022-11-14,592.55,603.95,591.65,603.95,227415,596.08
2022-11-11,601.3,619.55,598.5,617.25,220631,605.28
2022-11-10,605.75,615.1,602.2,613.1,232699,607.23
2022-11-09,615.55,621.0,610.55,621.0,302328,615.08
2022-11-07,614.15,622.7,607.7,613.0,470162,615.56
2022-11-04,593.95,596.95,580.4,586.0,302456,587.64
2022-11-03,584.9,587.95,568.0,569.0,244825,581.58
2022-11-02,573.85,578.95,569.9,575.9,142730,574.79
2022-11-01,576.9,585.75,574.6,576.35,163499,579.85
2022-10-31,573.8,577.45,568.4,574.95,139535,572.79
2022-10-28,570.75,582.65,567.0,579.95,144061,572.65
2022-10-27,579.65,585.0,577.6,583.95,209377,580.71
2022-10-25,578.55,586.2,568.0,572.5,215376,578.28
2022-10-24,570.5,572.5,565.9,567.0,63147,569.46
2022-10-21,560.85,565.8,557.25,557.25,198859,562.7
2022-10-20,555.4,556.8,545.3,552.0,134915,551.98
2022-10-19,553.4,563.45,551.55,563.0,137573,555.4
2022-10-18,562.45,563.5,546.75,547.1,245391,558.19
2022-10-17,543.65,544.7,524.2,526.4,208408,538.7
2022-10-14,527.2,534.85,526.0,530.2,144578,530.03
2022-10-13,521.45,533.8,520.2,533.0,166849,525.44
2022-10-12,533.8,535.0,526.0,530.0,121592,530.03
2022-10-11,527.4,533.7,525.5,530.75,159970,529.35
2022-10-10,530.75,533.9,522.2,525.7,191653,528.13
2022-10-07,530.2,535.6,526.55,535.5,185698,529.64
2022-10-06,537.3,541.8,534.6,534.6,183101,538.44
2022-10-04,532.7,535.8,527.8,533.0,128142,532.39
2022-10-03,519.75,531.65,518.5,527.6,141130,525.01
2022-09-30,530.6,536.9,516.15,524.0,199404,528.17
2022-09-29,521.75,535.7,519.55,529.0,215284,525.18
2022-09-28,524.85,539.8,520.35,532.9,183919,532.17
2022-09-27,536.5,550.9,533.2,544.55,154979,542.4
2022-09-26,543.3,549.0,533.0,545.8,274214,541.37
2022-09-23,550.6,568.0,549.5,564.8,282839,555.53
2022-09-22,567.3,574.0,562.0,566.75,181550,567.39
2022-09-21,569.7,577.3,565.4,575.0,174676,570.45
2022-09-20,574.05,577.95,572.85,577.95,176912,575.5
2022-09-19,572.25,574.4,559.55,560.7,163866,569.54
2022-09-16,561.8,574.0,560.3,569.1,231709,564.61
2022-09-15,572.15,578.5,567.9,572.55,224387,573.5
2022-09-14,571.75,574.85,549.25,550.0,301335,567.79
2022-09-13,558.0,560.0,553.75,560.0,148044,557.73
2022-09-12,554.9,558.6,551.25,554.9,127479,555.63
2022-09-09,553.35,557.0,548.0,549.65,267586,553.57
2022-09-08,544.65,546.3,535.5,536.0,141256,541.55
2022-09-07,532.85,537.45,531.55,534.4,106610,534.25
2022-09-06,537.8,542.7,534.1,538.0,108579,539.43
2022-09-05,538.9,540.8,536.3,537.0,106157,539.17
2022-09-02,536.7,537.85,531.25,537.0,124824,535.36
2022-09-01,533.3,540.9,522.25,522.25,218023,535.06
2022-08-30,531.25,532.5,517.95,518.2,166014,528.36
2022-08-29,514.85,517.0,508.75,511.3,143380,513.62
2022-08-26,523.8,529.5,522.2,523.8,128630,525.17
